from_stop_id,to_stop_id,transfer_type,min_transfer_time
AE550,AE540,2,300
AE560,AE370,2,300
AE560,AE570,2,300
AE560,AE815,2,300
AE570,AE370,2,300
AE570,AE560,2,300
AE570,AE815,2,300
AE580,AE355,2,300
AE580,AE360,2,300
AE580,AE590,2,300
AE590,AE580,2,300
AE590,AE600,2,300
AE600,AE340,2,300
AE600,AE351,2,300
AE600,AE590,2,300
AE600,AE610,2,300
AE610,AE340,2,300
AE610,AE351,2,300
AE610,AE600,2,300
AE620,AE340,2,300
AE620,AE630,2,300
AE625,AE325,2,300
AE625,AE335,2,300
AE625,AE635,2,300
AE625,AE640,2,300
AE630,AE340,2,300
AE630,AE620,2,300
AE635,AE325,2,300
AE635,AE625,2,300
AE635,AE640,2,300
AE640,AE335,2,300
AE640,AE625,2,300
AE640,AE635,2,300
AE640,AE650,2,300
AE650,AE640,2,300
AE660,AE670,2,300
AE660,AJ280,2,300
AE660,AJ290,2,300
AE670,AE660,2,300
AE670,AJ280,2,300
AE670,AJ290,2,300
AE680,AE690,2,300
AE680,AJ300,2,300
AE680,AJ310,2,300
AE680,EC120,2,300
AE680,EC130,2,300
AE690,AE680,2,300
AE690,AJ300,2,300
AE690,AJ310,2,300
AE690,EC130,2,300
AE710,AE715,2,300
AE715,AE050,2,300
AE715,AE710,2,300
AE720,AF100,2,300
AE721,AE726,2,300
AE726,AE721,2,300
AE800,AE355,2,300
AE800,AE360,2,300
AE800,AE810,2,300
AE810,AE355,2,300
AE810,AE360,2,300
AE810,AE800,2,300
AE815,AE370,2,300
AE815,AE560,2,300
AE815,AE570,2,300
AE815,AE820,2,300
AE820,AE260,2,300
AE820,AE370,2,300
AE820,AE375,2,300
AE820,AE815,2,300
AE990,AE995,2,300
AE995,AE990,2,300
AF075,AF080,2,300
AF080,AF075,2,300
AF100,AE720,2,300
AF100,AF105,2,300
AF105,AF100,2,300
AF110,AF120,2,300
AF120,AF110,2,300
AF130,AF140,2,300
AF130,AF150,2,300
AF140,AF130,2,300
AF140,AF150,2,300
AF150,AF130,2,300
AF150,AF140,2,300
AF160,AF170,2,300
AF160,AF300,2,300
AF170,AF160,2,300
AF170,AF300,2,300
AF180,AF190,2,300
AF180,AF210,2,300
AF180,AF220,2,300
AF180,AF230,2,300
AF180,AF305,2,300
AF190,AF180,2,300
AF190,AF210,2,300
AF190,AF220,2,300
AF190,AF300,2,300
AF190,AF305,2,300
AF210,AF180,2,300
AF210,AF190,2,300
AF210,AF220,2,300
AF210,AF230,2,300
AF210,AF240,2,300
AF210,AG190,2,300
AF210,AJ080,2,300
AF220,AF180,2,300
AF220,AF190,2,300
AF220,AF210,2,300
AF220,AF230,2,300
AF220,AF240,2,300
AF230,AF180,2,300
AF230,AF210,2,300
AF230,AF220,2,300
AF230,AF240,2,300
AF230,AG190,2,300
AF230,AG200,2,300
AF230,AJ080,2,300
AF240,AF210,2,300
AF240,AF220,2,300
AF240,AF230,2,300
AF240,AG190,2,300
AF240,AG200,2,300
AF240,AJ080,2,300
AF270,AF280,2,300
AF270,AF975,2,300
AF270,AF980,2,300
AF280,AF270,2,300
AF280,AF975,2,300
AF280,AF980,2,300
AF300,AF160,2,300
AF300,AF170,2,300
AF300,AF190,2,300
AF300,AF305,2,300
AF305,AF180,2,300
AF305,AF190,2,300
AF305,AF300,2,300
AF910,AF920,2,300
AF910,AF990,2,300
AF920,AF910,2,300
AF920,AF930,2,300
AF920,AF990,2,300
AF930,AF920,2,300
AF930,AF940,2,300
AF930,AF950,2,300
AF940,AF930,2,300
AF940,AF950,2,300
AF950,AF930,2,300
AF950,AF940,2,300
AF965,AF970,2,300
AF970,AF965,2,300
AF975,AF270,2,300
AF975,AF280,2,300
AF975,AF980,2,300
AF980,AF270,2,300
AF980,AF280,2,300
AF980,AF975,2,300
AF990,AF910,2,300
AF990,AF920,2,300
AG040,AG105,2,300
AG040,AG120,2,300
AG105,AG040,2,300
AG105,AG120,2,300
AG120,AG040,2,300
AG120,AG105,2,300
AG150,AG160,2,300
AG160,AG150,2,300
AG180,AG210,2,300
AG180,AG220,2,300
